tabTransferManager	转移经理
tabCallAgain	重拨
tabMisc	杂

DEBUGPROFILE	自定义传输管理器
optionEnableNewTransferManager	启用自定义传输管理器

GROUP_SERVICE_OPTIONS	服务选项
optionPreferLocalService	首选本地服务
optionPreferLocalService_txt	通过仅将低优先级请求与同一区域内（或任何区域外）的服务建筑进行匹配，进一步提高服务的局部性。 一旦未完成的请求成为高优先级，它将由附近的任何服务提供服务。 影响：垃圾、警察、医疗保健、维修、邮件、出租车。

GROUP_WAREHOUSE_OPTIONS	货物交付选项
optionWarehouseFirst	仓库优先
optionWarehouseFirst_txt	如果有的话，最好通过仓库进行所有货物交付（入库和出库）。 将增加仓库流量，因此您的仓库最好位于战略位置。
optionWarehouseReserveTrucks	为本地转运预留仓库货运卡车
optionWarehouseReserveTrucks_txt	仓库优先的建议启用：为城市需求预留 25% 的仓库卡车容量，防止所有卡车用于出口。
optionWarehouseNewBalanced	仓库改善区域
optionWarehouseNewBalanced_txt	BALANCED/FILL/EMPTY模式下的仓库将等待从本地仓库购买或出售到本地仓库，然后再决定分别进口/出口。 这应该会减少不必要的进出口，并使同城仓库转移更加可靠。 请注意，导入/导出仍然会发生。

GROUP_EXPORTIMPORT_OPTIONS	导出/导入选项
optionPreferExportShipPlaneTrain	进口/出口更喜欢使用轮船/飞机/火车而不是高速公路
optionPreferExportShipPlaneTrain_txt	实验功能！

GROUP_EXPERIMENTAL_DEATHCARE	实验性的
optionDeathcareExperimental	改善死亡护理转移
txtDeathcareExperimental	默认情况下，Cemeteries 一次发送一辆灵车的转移报价。此选项将报价更改为可用灵车的数量，这可以提高死亡护理的响应能力。

CallAgainEnabled	再次启用通话
sliderCallAgainUpdateRate	再次调用更新率
CallAgainDescriptionThreshold	阈值：较低的阈值开始调用更快
CallAgainDescriptionRate	速率: 在收到响应之前，较低的费率会更频繁地产生回调。

GROUP_CALLAGAIN_HEALTHCARE	卫生保健
CallAgainHealthcareThreshold	医疗保健门槛
CallAgainHealthcareRate	医疗保健回拨率

GROUP_CALLAGAIN_DEATHCARE	死亡护理
CallAgainDeathcareThreshold	临终关怀门槛
CallAgainDeathcareRate	死亡护理回调率

GROUP_TRANSFERISSUE_PANEL	转让问题小组
keyOpenTransferIssuePanel	打开转账问题面板
optionShowIssuesWithVehiclesOnRoute	显示路线上车辆的问题
sliderTransferIssueDeleteResolvedDelay	删除已解决的延迟

GROUP_STATISTICS_PANEL	统计面板
keyOpenStatisticsPanel	打开统计面板
StatisticsPanelEnabled	启用统计
btnResetPathingStatistics	重置路径统计
buttonResetTransferStatistics	重置转移统计

tabBuildingPanelSettings	环境
GROUP_BUILDINGPANEL_SERVICES	服务选项
chkBuildingPanelPreferLocalServices	首选本地服务
GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS	外部连接
dropdownBuildingPanelImportExport	进口/出口
GROUP_BUILDINGPANEL_GOODS_DELIVERY	货物交付选项
chkBuildingPanelReserveWarehouseTrucks	为本地转运预留仓库货运卡车
dropBuildingPanelImportExport1	允许导入和导出
dropBuildingPanelImportExport2	仅允许导入
dropBuildingPanelImportExport3	仅允许导出
dropBuildingPanelImportExport4	均不允许

tabBuildingPanelStatus	状态
listBuildingPanelStatusColumn1	材料
listBuildingPanelStatusColumn2	价值
listBuildingPanelStatusColumn3	响应者
listBuildingPanelStatusColumn4	车辆
listBuildingPanelStatusColumn5	描述

tabBuildingPanelTransfers	转移
labelBuildingPanelOffers	转让优惠
labelBuildingPanelMatchOffers	匹配优惠

listBuildingPanelOffersColumn1	在/出去
listBuildingPanelOffersColumn2	材料
listBuildingPanelOffersColumn3	优先权
listBuildingPanelOffersColumn4	积极的
listBuildingPanelOffersColumn5	量
listBuildingPanelOffersColumn6	描述

listBuildingPanelMatchesColumn1	时间
listBuildingPanelMatchesColumn2	材料
listBuildingPanelMatchesColumn3	活性
listBuildingPanelMatchesColumn4	量
listBuildingPanelMatchesColumn5	三角洲
listBuildingPanelMatchesColumn6	描述

// Transfer issues panel
titleTransferIssuesPanel	转移问题

tabTransferIssuesPathing	寻路
listPathingColumn1	时间
listPathingColumn2	来源
listPathingColumn3	靶

tabTransferIssuesDead	死
listDeadColumn1	死
listDeadColumn2	定时器
listDeadColumn3	来源
listDeadColumn4	靶
listDeadColumn5	车辆

tabTransferIssuesSick	生病
listSickColumn1	生病
